election,race,key,county,precinct,party,candidate,votes
2020-gen,president,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,166
2020-gen,president,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,181
2020-gen,president,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,227
2020-gen,president,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,34
2020-gen,president,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,24
2020-gen,president,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,157
2020-gen,president,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,76
2020-gen,president,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,19
2020-gen,president,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,121
2020-gen,president,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,243
2020-gen,president,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,189
2020-gen,president,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,34
2020-gen,president,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,32
2020-gen,president,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,7
2020-gen,president,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,44
2020-gen,president,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,D,JOSEPH R. BIDEN AND KAMALA D. HARRIS,54
2020-gen,president,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",15
2020-gen,president,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",12
2020-gen,president,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",17
2020-gen,president,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",6
2020-gen,president,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",5
2020-gen,president,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",13
2020-gen,president,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",3
2020-gen,president,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",0
2020-gen,president,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",5
2020-gen,president,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",11
2020-gen,president,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",25
2020-gen,president,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",7
2020-gen,president,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",6
2020-gen,president,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",2
2020-gen,president,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",1
2020-gen,president,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,L,"JO JORGENSEN AND JEREMY ""SPIKE"" COHEN",2
2020-gen,president,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,R,DONALD J. TRUMP AND MICHAEL R. PENCE,192
2020-gen,president,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,R,DONALD J. TRUMP AND MICHAEL R. PENCE,671
2020-gen,president,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,R,DONALD J. TRUMP AND MICHAEL R. PENCE,625
2020-gen,president,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,R,DONALD J. TRUMP AND MICHAEL R. PENCE,181
2020-gen,president,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,R,DONALD J. TRUMP AND MICHAEL R. PENCE,120
2020-gen,president,Beaverhead-PRECINCT 06,Beaverhead,PRECINCT 06,R,DONALD J. TRUMP AND MICHAEL R. PENCE,303
2020-gen,president,Beaverhead-PRECINCT 07,Beaverhead,PRECINCT 07,R,DONALD J. TRUMP AND MICHAEL R. PENCE,239
2020-gen,president,Beaverhead-PRECINCT 08,Beaverhead,PRECINCT 08,R,DONALD J. TRUMP AND MICHAEL R. PENCE,57
2020-gen,president,Beaverhead-PRECINCT 09,Beaverhead,PRECINCT 09,R,DONALD J. TRUMP AND MICHAEL R. PENCE,355
2020-gen,president,Beaverhead-PRECINCT 12,Beaverhead,PRECINCT 12,R,DONALD J. TRUMP AND MICHAEL R. PENCE,359
2020-gen,president,Beaverhead-PRECINCT 14,Beaverhead,PRECINCT 14,R,DONALD J. TRUMP AND MICHAEL R. PENCE,304
2020-gen,president,Beaverhead-PRECINCT 17,Beaverhead,PRECINCT 17,R,DONALD J. TRUMP AND MICHAEL R. PENCE,96
2020-gen,president,Beaverhead-PRECINCT 19,Beaverhead,PRECINCT 19,R,DONALD J. TRUMP AND MICHAEL R. PENCE,110
2020-gen,president,Beaverhead-PRECINCT 20,Beaverhead,PRECINCT 20,R,DONALD J. TRUMP AND MICHAEL R. PENCE,88
2020-gen,president,Beaverhead-PRECINCT 21,Beaverhead,PRECINCT 21,R,DONALD J. TRUMP AND MICHAEL R. PENCE,120
2020-gen,president,Beaverhead-PRECINCT 23,Beaverhead,PRECINCT 23,R,DONALD J. TRUMP AND MICHAEL R. PENCE,103
2020-gen,us senate,Beaverhead-PRECINCT 01,Beaverhead,PRECINCT 01,D,STEVE BULLOCK,187
2020-gen,us senate,Beaverhead-PRECINCT 02,Beaverhead,PRECINCT 02,D,STEVE BULLOCK,222
2020-gen,us senate,Beaverhead-PRECINCT 03,Beaverhead,PRECINCT 03,D,STEVE BULLOCK,246
2020-gen,us senate,Beaverhead-PRECINCT 04,Beaverhead,PRECINCT 04,D,STEVE BULLOCK,46
2020-gen,us senate,Beaverhead-PRECINCT 05,Beaverhead,PRECINCT 05,D,STEVE BULLOCK,30
