district,party,candidate,votes
SD-1,Republican,MICHAEL J CUFFE,7586
SD-4,Democrat,KYLE WATERMAN,3149
SD-4,Republican,JOHN FULLER,5180
SD-5,Republican,MARK NOLAND,7995
SD-8,Democrat,SUSAN A WEBBER,2675
SD-8,Republican,RICK JENNISON,1996
SD-9,Republican,"BRUCE ""BUTCH"" GILLESPIE",6780
SD-11,Democrat,TOM JACOBSON,3276
SD-11,Republican,DANIEL EMRICH,3683
SD-12,Democrat,JACOB BACHMEIER,2641
SD-12,Republican,WENDY MCKAMEY,3358
SD-13,Democrat,CASEY SCHREINER,2508
SD-13,Republican,JEREMY TREBAS,2681
SD-14,Democrat,DAVID H BREWER,2231
SD-14,Republican,RUSSEL E TEMPEL,5624
SD-15-UNEXPIRED-TERM,Democrat,CINDY PALMER,1883
SD-15-UNEXPIRED-TERM,Republican,DAN BARTEL,7504
SD-19,Republican,KENNETH BOGNER,7643
SD-20,Republican,BARRY USHER,7739
SD-22,Democrat,TERRY DENNIS,2529
SD-22,Republican,DANIEL ZOLNIKOV,4853
SD-24,Democrat,KATHY KELKER,3950
SD-24,Republican,ELIJAH TIDSWELL,3109
SD-27,Republican,DENNIS LENZ,9670
SD-29,Republican,FORREST JAMES MANDEVILLE,8437
SD-30,Democrat,JAMIE L ISALY,4879
SD-30,Republican,JOHN ESP,6041
SD-32,Democrat,PAT FLOWERS,5572
SD-32,Republican,RANDY CHAMBERLIN,5082
SD-33,Democrat,DENISE HAYMAN,8039
SD-33,Republican,ADAM DEWIS,3799
SD-34,Democrat,DAMION LYNN,3683
SD-34,Republican,SHELLEY VANCE,6516
SD-39-UNEXPIRED-TERM,Democrat,JESSE JAMES MULLEN,3725
SD-39-UNEXPIRED-TERM,Republican,TERRY VERMEIRE,4491
SD-41,Democrat,JANET ELLIS,5423
SD-41,Republican,DAVE GALT,4372
SD-42,Democrat,MARY ANN DUNWELL,5071
SD-42,Republican,MATT OLSON,4103
SD-43,Democrat,JOHN F SCHNEEBERGER,3766
SD-43,Republican,JASON W ELLSWORTH,7868
SD-48,Democrat,SHANE A. MORIGEAU,6329
SD-48,Republican,JACOB VAN HORN,3579
SD-49,Democrat,WILLIS CURDY,5630
SD-49,Republican,BRAD TSCHIDA,4714
SD-50,Democrat,ANDREA OLSEN,7455
SD-50,Republican,NICK KNOWLES,2808
HD-1,Republican,STEVE GUNDERSON,3220
HD-2,Republican,NEIL A. DURAM,4365
HD-3,Democrat,ANDREA GETTS,1934
HD-3,Republican,BRAXTON MITCHELL,2751
HD-4,Democrat,KIMBERLY PINTER,1342
HD-4,Republican,MATT REGIER,4225
HD-5,Democrat,DAVE FERN,3673
HD-5,Republican,LYN BENNETT,2311
HD-6,Republican,AMY REGIER,4713
HD-7,Democrat,ANGELA KENNEDY,1280
HD-7,Republican,COURTENAY SPRUNGER,2182
HD-8,Libertarian,SID DAOUD,1240
HD-8,Republican,TERRY FALK,3287
HD-9,Republican,TONY BROCKMAN,3150
