,district,party,candidate,votes
0,SD-2,Republican,DOUG ADAMS,6227
1,SD-2,Democrat,DAVE FERN,6860
2,SD-3,Republican,CARL GLIMM,9590
3,SD-3,Democrat,ANGELA KENNEDY,4100
4,SD-5,Republican,MATT REGIER,9157
5,SD-5,Democrat,LINK NEIMARK,3162
6,SD-7,Republican,GREG HERTZ,9271
7,SD-7,Democrat,CRAIG PABLO,3472
8,SD-13,Republican,JOSH KASSMIER,9676
9,SD-15,Republican,GREGG HUNTER,9311
10,SD-16,Democrat,JONATHAN WINDY BOY,4554
11,SD-16,Republican,PERRI A JACOBS,2902
12,SD-17,Republican,BOB PHALEN,10096
13,SD-20,Republican,SUE VINTON,6820
14,SD-20,Democrat,LINDA AUCH,2841
15,SD-21,Republican,GAYLE GEORGE LAMMERS,3796
16,SD-21,Democrat,SHARON STEWART PEREGOY,2885
17,SD-24,Democrat,MARK H NICHOLSON,3675
18,SD-24,Republican,MIKE YAKAWICH,4283
19,SD-26,Democrat,KAREN LYNCOLN,4347
20,SD-26,Republican,TOM MCGILLVRAY,7696
21,SD-27,Democrat,KATHLEEN GILLULY,2942
22,SD-27,Republican,VINCE RICCI,8446
23,SD-30,Democrat,CORA NEUMANN,8221
24,SD-30,Republican,TYLER ROGERS,5853
25,SD-33,Democrat,CHRISTOPHER POPE,7534
26,SD-33,Republican,NEAL GANSER,5772
27,SD-35,Republican,TONY TEZAK,11666
28,SD-36,Republican,DARLEAN NEWMAN,3948
29,SD-36,Democrat,SARA NOVAK,6549
30,SD-37,Democrat,DEREK J HARVEY,6291
31,SD-37,Republican,JIM KEPHART,4226
32,SD-38,Republican,BECKY BEARD,10056
33,SD-38,Democrat,JEFFREY BENSON,3819
34,SD-39,Republican,E WYLIE GALT,10302
35,SD-39,Democrat,BRUCE SHULTZ,2896
36,SD-40,Democrat,LAURA SMITH,6633
37,SD-40,Republican,GREG L GUTHRIE,5713
38,SD-44,Republican,THERESA MANZELLA,10349
39,SD-44,Democrat,CADE SCATOLINI,4054
40,SD-45,Independent,KELLEY DURBIN-WILLIAMS,1029
41,SD-45,Democrat,DEVIN JACKSON,4321
42,SD-45,Republican,DENLEY M LOGE,7714
43,SD-46,Republican,CHARLES HEADLEY,5252
44,SD-46,Democrat,JACINDA MORIGEAU,7328
45,SD-47,Democrat,ELLIE HILL BOLDMAN,7858
46,SD-47,Republican,ABIGAIL MAKI,5486
47,HD-1,Democrat,DAKOTA V ADAMS,1388
48,HD-1,Republican,NEIL DURAM,5541
49,HD-2,Republican,TOM MILLETT,4600
50,HD-2,Democrat,BRAD SIMONIS,1245
51,HD-3,Republican,CATHY MITCHELL,3310
52,HD-3,Democrat,DEBO POWERS,3554
53,HD-4,Republican,LYN BENNETT,3171
54,HD-4,Democrat,LINDSEY JORDAN,2922
55,HD-5,Republican,BRAXTON MITCHELL,4671
56,HD-5,Democrat,STEVE PAUGH,1654
57,HD-6,Republican,AMY REGIER,5131
58,HD-6,Democrat,VELVET PHILLIPSSULLIVAN,2250
59,HD-7,Republican,COURTENAY SPRUNGER,3081
60,HD-7,Democrat,ARTHUR FRETHEIM,1633
61,HD-8,Democrat,BETH SIBERT,1671
62,HD-8,Republican,LUKAS SCHUBERT,4030
63,HD-9,Republican,STEVEN C KELLY,4807
64,HD-9,Democrat,JOANNE MORROW,1641
65,HD-10,Democrat,DEVIN T MARCONI,1453
66,HD-10,Republican,TERRY FALK,4350
67,HD-11,Republican,ED BYRNE,5214
68,HD-11,Democrat,JENNIFER ALLEN,1665
69,HD-12,Democrat,BARRY OLSON,2107
70,HD-12,Republican,TRACY A SHARP,5117
71,HD-13,Democrat,SHIRLEY AZZOPARDI,2322
72,HD-13,Republican,LINDA E REKSTEN,3589
73,HD-14,Republican,PAUL C FIELDER,5133
74,HD-14,Democrat,COLLEEN HINDS,1710
75,HD-15,Republican,RALPH FOSTER,1939
76,HD-15,Democrat,THEDIS CROWE,2087
77,HD-16,Democrat,TYSON T RUNNING WOLF,2455
78,HD-16,Republican,ELAINE UTTERBACK  MITCHELL,1682
79,HD-17,Republican,ZACK WIRTH,4807
80,HD-17,Democrat,LEONARD BATES,1577
81,HD-18,Democrat,DAVID ARENDS,1441
82,HD-18,Republican,LLEW JONES,3982
83,HD-19,Democrat,JANE WEBER,1798
84,HD-19,Republican,HANNAH TREBAS,1491
85,HD-20,Democrat,RINA FONTANA MOORE,2327
86,HD-20,Republican,MELISSA NIKOLAKAKOS,2686
87,HD-21,Republican,ED BUTTREY,3662
88,HD-21,Democrat,LELA GRAHAM,1758
89,HD-22,Republican,GEORGE NIKOLAKAKOS,2017
90,HD-22,Democrat,RONALD K PAULICK,1225
91,HD-23,Democrat,SANDOR R HOPKINS,1811
92,HD-23,Republican,ERIC TILLEMAN,2504
93,HD-23,Libertarian,KEVIN LEATHERBARROW,137
94,HD-24,Republican,STEVE FITZPATRICK,4019
95,HD-25,Republican,STEVE GIST,4088
96,HD-25,Democrat,JAMES RICKLEY,1338
97,HD-26,Republican,RUSSEL MINER,5054
98,HD-27,Republican,ED HILL,2110
99,HD-27,Democrat,PAUL TUSS,2329
100,HD-28,Republican,ERIC ALBUS,4118
101,HD-28,Democrat,BLAKE BORST,1225
102,HD-29,Republican,VALERIE MOORE,5026
103,HD-30,Republican,MORGAN THIEL,4281
104,HD-31,Democrat,FRANK J SMITH,2182
105,HD-31,Republican,KEVIN TAYLOR,1461
106,HD-32,Democrat,MIKE FOX,2240
107,HD-32,Republican,JASON ULRICH,1507
108,HD-33,Republican,BRANDON LER,4576
109,HD-34,Republican,JERRY SCHILLINGER,5554
110,HD-35,Republican,GARY W. PARRY,4780
111,HD-35,Democrat,KIM KREIDER,1144
112,HD-36,Republican,GREG KMETZ,3558
113,HD-36,Democrat,STAN TAYLOR,1519
114,HD-37,Republican,SHANE KLAKKEN,4684
115,HD-37,Democrat,ANDREA PAYNE,1614
116,HD-38,Republican,GREG OBLANDER,5894
117,HD-39,Republican,KERRI SEEKINS-CROWE,3151
118,HD-39,Democrat,MELISSA SMITH,1624
119,HD-40,Republican,MIKE VINTON,3679
120,HD-40,Democrat,BOB AUCH,1261
121,HD-41,Democrat,JADE SOOKTIS,1839
122,HD-41,Republican,DA WALLOWING BULL,1042
123,HD-42,Democrat,SIDNEY CHIP FITZPATRICK,1922
124,HD-42,Republican,BILL HODGES,1735
125,HD-43,Republican,LARRY BREWSTER,2965
126,HD-43,Democrat,ALEXANDER CLARK,1649
127,HD-44,Republican,KATIE ZOLNIKOV,4508
128,HD-45,Democrat,DENISE BAUM,2603
129,HD-45,Republican,KASSIDY OLSON,2314
130,HD-46,Republican,STARR EMERY,2231
131,HD-46,Democrat,EMMA KERR CARPENTER,2507
132,HD-47,Republican,STEPHANIE MONCADA,1621
133,HD-47,Democrat,JAMES REAVIS,1819
134,HD-48,Democrat,ANNE ROSS,1924
135,HD-48,Republican,CURTIS SCHOMER,2565
136,HD-49,Republican,SHERRY ESSMANN,3063
137,HD-49,Democrat,RUDOLF HADEN,1841
138,HD-50,Democrat,SHAWN C GIESICK,2053
139,HD-50,Republican,ANTHONY NICASTRO,4019
140,HD-51,Republican,JODEE ETCHART,3124
141,HD-51,Independent,JANNA HAFER,2320
142,HD-52,Democrat,CAROLE BOERNER,2162
143,HD-52,Republican,BILL MERCER,4522
144,HD-53,Democrat,ELLIE KERNS,1536
145,HD-53,Republican,NELLY NICOL,4838
146,HD-54,Republican,LEE DEMING,4247
147,HD-55,Republican,BRAD BARKER,4931
148,HD-55,Democrat,KIM GILLAN,2546
149,HD-56,Republican,FIONA NAVE,6005
150,HD-57,Republican,MARTY MALONE,3783
151,HD-57,Democrat,SCOTT ROSENZWEIG,3803
152,HD-58,Republican,JASON GUNDERSON,3196
153,HD-58,Democrat,JAMIE L ISALY,3690
154,HD-59,Republican,MARC GREENDORFER,2871
155,HD-59,Democrat,ED STAFMAN,4851
156,HD-60,Democrat,ALANAH GRIFFITH,3338
157,HD-60,Republican,JERRY JOHNSON,3062
158,HD-61,Republican,THOMAS CARLSON,1082
159,HD-61,Democrat,BECKY EDWARDS,2695
160,HD-62,Republican,OWEN LANG,2804
161,HD-62,Democrat,JOSHUA A SECKINGER,2926
162,HD-63,Democrat,PETER STRAND,3255
163,HD-63,Republican,MARK LEWIS,2838
164,HD-64,Democrat,KELLY KORTUM,3177
165,HD-64,Republican,JOLENE  CRUM,2673
166,HD-65,Democrat,BRIAN CLOSE,3456
167,HD-65,Republican,ESTHER FISHBAUGH,2746
168,HD-66,Democrat,ERIC MATTHEWS,4009
169,HD-66,Republican,MARLA DAVIS,3057
170,HD-67,Democrat,CARL ANDERSON,2170
171,HD-67,Republican,JEDEDIAH HINKLE,3757
172,HD-68,Democrat,ALEXANDER COLAFRANCESCO,1500
173,HD-68,Republican,CALEB HINKLE,4283
174,HD-69,Republican,KEN WALSH,6222
175,HD-70,Republican,SHANNON MANESS,5384
176,HD-71,Democrat,SCOTT P DEMAROIS,3375
177,HD-71,Republican,H STEIGER,2083
178,HD-72,Democrat,DONAVON HAWK,3081
179,HD-72,Republican,ANDY JOHNSON,1859
180,HD-73,Democrat,JENNIFER LYNCH,2766
181,HD-73,Republican,ZACH TOMASZEWSKI,1716
182,HD-74,Democrat,MARC J LEE,3744
183,HD-74,Republican,TRENIN BAYLESS,2364
184,HD-75,Republican,MARTA BERTOGLIO,5166
185,HD-75,Democrat,NANCY JANE LIEN,2097
186,HD-76,Republican,JOHN FITZPATRICK,4957
187,HD-76,Libertarian,ELENA GAGLIANO,1361
188,HD-77,Democrat,JEREMIAH DAWSON,1492
189,HD-77,Republican,JANE GILLETTE,5458
190,HD-78,Republican,RANDYN GREGG,4877
191,HD-78,Democrat,GLENN A LAMBERT,1357
192,HD-79,Republican,JILL SARK,3194
193,HD-79,Democrat,LUKE MUSZKIEWICZ,3678
194,HD-80,Republican,RACHEL BURRIGHT,2520
195,HD-80,Democrat,MELISSA ROMANO,2937
196,HD-81,Democrat,MARY M CAFERRO,3498
197,HD-81,Republican,DUSTIN SCOTT,2801
198,HD-82,Republican,JOHN LOONEY SR,2459
199,HD-82,Democrat,PETE ELVERUM,2990
200,HD-83,Democrat,JILL COHENOUR,3549
201,HD-83,Republican,WES FEIST,2830
202,HD-84,Republican,JULIE DOOLING,4770
203,HD-84,Democrat,MICHELE R CREPEAU,2312
204,HD-85,Republican,KATHY LOVE,5716
