district,party,candidate,votes
SD-2,Republican,DOUG ADAMS,2318
SD-2,Democrat,DAVE FERN,2344
SD-3,Republican,CARL GLIMM,3802
SD-3,Democrat,ANGELA KENNEDY,1394
SD-5,Republican,MARQUIS L LAUDE,1427
SD-5,Republican,MATT REGIER,2890
SD-5,Democrat,LINK NEIMARK,1015
SD-7,Republican,GREG HERTZ,4409
SD-7,Democrat,CRAIG PABLO,1573
SD-13,Republican,JOSH KASSMIER,3321
SD-13,Republican,LOLA SHELDON-GALLOWAY,1832
SD-15,Republican,RHONDA KNUDSEN,1776
SD-15,Republican,GREGG HUNTER,2918
SD-16,Republican,PERRI A JACOBS,1305
SD-16,Democrat,JONATHAN WINDY BOY,667
SD-16,Democrat,BRIDGET SMITH,310
SD-17,Republican,MIKE NEWTON,2418
SD-17,Republican,BOB PHALEN,3634
SD-20,Republican,SUE VINTON,3239
SD-20,Democrat,LINDA AUCH,1098
SD-21,Republican,GAYLE GEORGE LAMMERS,1417
SD-21,Democrat,RAE PEPPERS,352
SD-21,Democrat,SHARON STEWART PEREGOY,554
SD-24,Republican,MIKE YAKAWICH,1736
SD-24,Democrat,MARK H NICHOLSON,1272
SD-26,Republican,TOM MCGILLVRAY,3921
SD-26,Democrat,KAREN LYNCOLN,1793
SD-27,Republican,CHRIS FRIEDEL,1640
SD-27,Republican,VINCE RICCI,2519
SD-27,Democrat,KATHLEEN GILLULY,1155
SD-30,Republican,TYLER ROGERS,2050
SD-30,Democrat,CORA NEUMANN,3009
SD-33,Republican,NEAL GANSER,2198
SD-33,Democrat,CHRISTOPHER POPE,2833
SD-35,Republican,MARK (MJ) MCGINLEY,1251
SD-35,Republican,TONY TEZAK,2256
SD-35,Republican,RAY SHAW,2217
SD-36,Republican,DARLEAN NEWMAN,1947
SD-36,Democrat,JESSICA WICKS,1385
SD-36,Democrat,SARA NOVAK,2412
SD-37,Republican,JIM KEPHART,2016
SD-37,Democrat,DEREK J HARVEY,3657
SD-38,Republican,BECKY BEARD,2553
SD-38,Republican,JEREMY MYGLAND,1357
SD-38,Republican,GREGORY FRAZER,1378
SD-38,Democrat,JEFFREY BENSON,1811
SD-39,Republican,E WYLIE GALT,5089
SD-39,Democrat,BRUCE SHULTZ,1079
SD-40,Republican,GREG L GUTHRIE,2631
SD-40,Democrat,LAURA SMITH,3249
